Tue Feb 23 17:45:58 PST 2016 - cc: EXIT DUE TO ERROR:  - wget images
Tue Feb 23 17:47:56 PST 2016 - cc: EXIT DUE TO ERROR:  - wget urls
Tue Feb 23 17:49:26 PST 2016 - cc: EXIT DUE TO ERROR:  - wget tasks
Tue Feb 23 17:50:03 PST 2016 - cc: EXIT DUE TO ERROR:  - wget tasks
Tue Feb 23 17:50:07 PST 2016 - cc: EXIT DUE TO ERROR:  - wget tasks
Tue Feb 23 19:07:30 PST 2016 - cc: EXIT DUE TO ERROR:  - wget tasks
Tue Feb 23 19:18:58 PST 2016 - cc: EXIT DUE TO ERROR:  - upload images
Tue Feb 23 19:20:31 PST 2016 - cc: EXIT DUE TO ERROR:  - upload images
Tue Feb 23 19:20:52 PST 2016 - cc: EXIT DUE TO ERROR:  - upload images
Tue Feb 23 19:22:49 PST 2016 - cc: EXIT DUE TO ERROR:  - upload images
Tue Feb 23 19:27:13 PST 2016 - cc: EXIT DUE TO ERROR:  - upload images
Tue Feb 23 19:28:01 PST 2016 - cc: EXIT DUE TO ERROR:  - upload images
