"item","file","mediatype","collection","title","creator","language","description","contributor","date","licenseurl"
cc-0001-23864220866,flickr/23864220866_0658a3610b_o.jpg,image,opensource_media,"Atlas Negative Collection Image","San Diego Air & Space Museum Archives",,"<span xmlns:dct=""http://purl.org/dc/terms/"" href=""http://purl.org/dc/dcmitype/StillImage"" property=""dct:title"" rel=""dct:type"">Atlas Negative Collection Image</span> by <a xmlns:cc=""http://creativecommons.org/ns#"" href=""https://www.flickr.com/photos/49487266@N07/23864220866"" property=""cc:attributionName"" rel=""cc:attributionURL"">San Diego Air & Space Museum Archives</a> has <a rel=""license"" href=""http://flickr.com/commons/usage/"">no known copyright restrictions</a>.",,"2015-12-21 04:44:21",http://flickr.com/commons/usage/
cc-0001-23864210286,flickr/23864210286_f2f2ec4347_o.jpg,image,opensource_media,"Atlas Negative Collection Image","San Diego Air & Space Museum Archives",,"<span xmlns:dct=""http://purl.org/dc/terms/"" href=""http://purl.org/dc/dcmitype/StillImage"" property=""dct:title"" rel=""dct:type"">Atlas Negative Collection Image</span> by <a xmlns:cc=""http://creativecommons.org/ns#"" href=""https://www.flickr.com/photos/49487266@N07/23864210286"" property=""cc:attributionName"" rel=""cc:attributionURL"">San Diego Air & Space Museum Archives</a> has <a rel=""license"" href=""http://flickr.com/commons/usage/"">no known copyright restrictions</a>.",,"2015-12-21 04:43:20",http://flickr.com/commons/usage/
cc-0001-23864206926,flickr/23864206926_dfbd0a9746_o.jpg,image,opensource_media,"Atlas Negative Collection Image","San Diego Air & Space Museum Archives",,"<span xmlns:dct=""http://purl.org/dc/terms/"" href=""http://purl.org/dc/dcmitype/StillImage"" property=""dct:title"" rel=""dct:type"">Atlas Negative Collection Image</span> by <a xmlns:cc=""http://creativecommons.org/ns#"" href=""https://www.flickr.com/photos/49487266@N07/23864206926"" property=""cc:attributionName"" rel=""cc:attributionURL"">San Diego Air & Space Museum Archives</a> has <a rel=""license"" href=""http://flickr.com/commons/usage/"">no known copyright restrictions</a>.",,"2015-12-21 04:43:20",http://flickr.com/commons/usage/
cc-0001-23864193476,flickr/23864193476_64bb5191bd_o.jpg,image,opensource_media,"Atlas Negative Collection Image","San Diego Air & Space Museum Archives",,"<span xmlns:dct=""http://purl.org/dc/terms/"" href=""http://purl.org/dc/dcmitype/StillImage"" property=""dct:title"" rel=""dct:type"">Atlas Negative Collection Image</span> by <a xmlns:cc=""http://creativecommons.org/ns#"" href=""https://www.flickr.com/photos/49487266@N07/23864193476"" property=""cc:attributionName"" rel=""cc:attributionURL"">San Diego Air & Space Museum Archives</a> has <a rel=""license"" href=""http://flickr.com/commons/usage/"">no known copyright restrictions</a>.",,"2015-12-21 04:42:18",http://flickr.com/commons/usage/
cc-0001-23864190006,flickr/23864190006_9aa88df113_o.jpg,image,opensource_media,"Atlas Negative Collection Image","San Diego Air & Space Museum Archives",,"<span xmlns:dct=""http://purl.org/dc/terms/"" href=""http://purl.org/dc/dcmitype/StillImage"" property=""dct:title"" rel=""dct:type"">Atlas Negative Collection Image</span> by <a xmlns:cc=""http://creativecommons.org/ns#"" href=""https://www.flickr.com/photos/49487266@N07/23864190006"" property=""cc:attributionName"" rel=""cc:attributionURL"">San Diego Air & Space Museum Archives</a> has <a rel=""license"" href=""http://flickr.com/commons/usage/"">no known copyright restrictions</a>.",,"2015-12-21 04:42:18",http://flickr.com/commons/usage/
cc-0001-23864186536,flickr/23864186536_eb09dfdb14_o.jpg,image,opensource_media,"Atlas Negative Collection Image","San Diego Air & Space Museum Archives",,"<span xmlns:dct=""http://purl.org/dc/terms/"" href=""http://purl.org/dc/dcmitype/StillImage"" property=""dct:title"" rel=""dct:type"">Atlas Negative Collection Image</span> by <a xmlns:cc=""http://creativecommons.org/ns#"" href=""https://www.flickr.com/photos/49487266@N07/23864186536"" property=""cc:attributionName"" rel=""cc:attributionURL"">San Diego Air & Space Museum Archives</a> has <a rel=""license"" href=""http://flickr.com/commons/usage/"">no known copyright restrictions</a>.",,"2015-12-21 04:42:18",http://flickr.com/commons/usage/
cc-0001-23864173706,flickr/23864173706_257fb31860_o.jpg,image,opensource_media,"Atlas Negative Collection Image","San Diego Air & Space Museum Archives",,"<span xmlns:dct=""http://purl.org/dc/terms/"" href=""http://purl.org/dc/dcmitype/StillImage"" property=""dct:title"" rel=""dct:type"">Atlas Negative Collection Image</span> by <a xmlns:cc=""http://creativecommons.org/ns#"" href=""https://www.flickr.com/photos/49487266@N07/23864173706"" property=""cc:attributionName"" rel=""cc:attributionURL"">San Diego Air & Space Museum Archives</a> has <a rel=""license"" href=""http://flickr.com/commons/usage/"">no known copyright restrictions</a>.",,"2015-12-21 04:41:17",http://flickr.com/commons/usage/
cc-0001-23864033076,flickr/23864033076_2f833fdd73_o.jpg,image,opensource_media,NO_12-21-1965_christmas_scenes_on_streets_Fr09,"State Archives of North Carolina",,"<span xmlns:dct=""http://purl.org/dc/terms/"" href=""http://purl.org/dc/dcmitype/StillImage"" property=""dct:title"" rel=""dct:type"">NO_12-21-1965_christmas_scenes_on_streets_Fr09</span> by <a xmlns:cc=""http://creativecommons.org/ns#"" href=""https://www.flickr.com/photos/24231108@N08/23864033076"" property=""cc:attributionName"" rel=""cc:attributionURL"">State Archives of North Carolina</a> has <a rel=""license"" href=""http://flickr.com/commons/usage/"">no known copyright restrictions</a>.",,"2015-12-21 04:42:18",http://flickr.com/commons/usage/
cc-0001-23864032976,flickr/23864032976_c27b7d2c95_o.jpg,image,opensource_media,NO_12-21-1965_christmas_scenes_on_streets_Fr01,"State Archives of North Carolina",,"<span xmlns:dct=""http://purl.org/dc/terms/"" href=""http://purl.org/dc/dcmitype/StillImage"" property=""dct:title"" rel=""dct:type"">NO_12-21-1965_christmas_scenes_on_streets_Fr01</span> by <a xmlns:cc=""http://creativecommons.org/ns#"" href=""https://www.flickr.com/photos/24231108@N08/23864032976"" property=""cc:attributionName"" rel=""cc:attributionURL"">State Archives of North Carolina</a> has <a rel=""license"" href=""http://flickr.com/commons/usage/"">no known copyright restrictions</a>.",,"2015-12-21 04:42:18",http://flickr.com/commons/usage/
cc-0001-23864032856,flickr/23864032856_944785330e_o.jpg,image,opensource_media,NO_12-21-1965_christmas_scenes_on_streetsFr10,"State Archives of North Carolina",,"<span xmlns:dct=""http://purl.org/dc/terms/"" href=""http://purl.org/dc/dcmitype/StillImage"" property=""dct:title"" rel=""dct:type"">NO_12-21-1965_christmas_scenes_on_streetsFr10</span> by <a xmlns:cc=""http://creativecommons.org/ns#"" href=""https://www.flickr.com/photos/24231108@N08/23864032856"" property=""cc:attributionName"" rel=""cc:attributionURL"">State Archives of North Carolina</a> has <a rel=""license"" href=""http://flickr.com/commons/usage/"">no known copyright restrictions</a>.",,"2015-12-21 04:42:18",http://flickr.com/commons/usage/
cc-0001-23863898636,flickr/23863898636_cc58b4ccb3_o.jpg,image,opensource_media,"Atlas Negative Collection Image","San Diego Air & Space Museum Archives",,"<span xmlns:dct=""http://purl.org/dc/terms/"" href=""http://purl.org/dc/dcmitype/StillImage"" property=""dct:title"" rel=""dct:type"">Atlas Negative Collection Image</span> by <a xmlns:cc=""http://creativecommons.org/ns#"" href=""https://www.flickr.com/photos/49487266@N07/23863898636"" property=""cc:attributionName"" rel=""cc:attributionURL"">San Diego Air & Space Museum Archives</a> has <a rel=""license"" href=""http://flickr.com/commons/usage/"">no known copyright restrictions</a>.",,"2015-12-21 04:40:16",http://flickr.com/commons/usage/
cc-0001-23863868846,flickr/23863868846_db5ef2bffa_o.jpg,image,opensource_media,"Atlas Negative Collection Image","San Diego Air & Space Museum Archives",,"<span xmlns:dct=""http://purl.org/dc/terms/"" href=""http://purl.org/dc/dcmitype/StillImage"" property=""dct:title"" rel=""dct:type"">Atlas Negative Collection Image</span> by <a xmlns:cc=""http://creativecommons.org/ns#"" href=""https://www.flickr.com/photos/49487266@N07/23863868846"" property=""cc:attributionName"" rel=""cc:attributionURL"">San Diego Air & Space Museum Archives</a> has <a rel=""license"" href=""http://flickr.com/commons/usage/"">no known copyright restrictions</a>.",,"2015-12-21 04:40:16",http://flickr.com/commons/usage/
